Latitude,Longitude
45.301799774169922,-76.672019958496094
45.301799774169922,-76.672080993652344
45.301803588867188,-76.672149658203125
45.301807403564453,-76.672210693359375
45.301811218261719,-76.672271728515625
45.301815032958984,-76.672340393066406
45.301818847656250,-76.672401428222656
45.301822662353516,-76.672462463378906
45.301826477050781,-76.672531127929688
45.301830291748047,-76.672592163085938
45.301834106445312,-76.672653198242188
45.301834106445312,-76.672721862792969
45.301837921142578,-76.672782897949219
45.301841735839844,-76.672843933105469
45.301845550537109,-76.672912597656250
45.301849365234375,-76.672973632812500
45.301853179931641,-76.673034667968750
45.301856994628906,-76.673103332519531
45.301860809326172,-76.673164367675781
45.301864624023438,-76.673225402832031
45.301868438720703,-76.673294067382812
45.301872253417969,-76.673355102539062
45.301876068115234,-76.673416137695312
45.301879882812500,-76.673484802246094
45.301883697509766,-76.673545837402344
45.301887512207031,-76.673606872558594
45.301891326904297,-76.673675537109375
45.301895141601562,-76.673736572265625
45.301898956298828,-76.673797607421875
45.301902770996094,-76.673866271972656
45.301906585693359,-76.673927307128906
45.301910400390625,-76.673988342285156
45.301914215087891,-76.674057006835938
45.301918029785156,-76.674118041992188
45.301921844482422,-76.674179077148438
45.301925659179688,-76.674247741699219
45.301929473876953,-76.674308776855469
45.301933288574219,-76.674369812011719
45.301937103271484,-76.674430847167969
45.301940917968750,-76.674499511718750
45.301940917968750,-76.674560546875000
45.301944732666016,-76.674629211425781
45.301944732666016,-76.674690246582031
45.301944732666016,-76.674751281738281
45.301944732666016,-76.674819946289062
45.301944732666016,-76.674880981445312
45.301940917968750,-76.674942016601562
45.301937103271484,-76.675010681152344
45.301929473876953,-76.675071716308594
45.301921844482422,-76.675132751464844
45.301910400390625,-76.675193786621094
45.301898956298828,-76.675254821777344
45.301883697509766,-76.675315856933594
45.301868438720703,-76.675376892089844
45.301849365234375,-76.675430297851562
45.301826477050781,-76.675491333007812
45.301803588867188,-76.675544738769531
45.301780700683594,-76.675598144531250
45.301753997802734,-76.675651550292969
45.301727294921875,-76.675697326660156
45.301696777343750,-76.675750732421875
45.301666259765625,-76.675796508789062
45.301639556884766,-76.675842285156250
45.301609039306641,-76.675888061523438
45.301574707031250,-76.675941467285156
45.301544189453125,-76.675987243652344
45.301513671875000,-76.676033020019531
45.301483154296875,-76.676078796386719
45.301452636718750,-76.676124572753906
45.301422119140625,-76.676170349121094
45.301387786865234,-76.676216125488281
45.301357269287109,-76.676261901855469
45.301326751708984,-76.676307678222656
45.301296234130859,-76.676353454589844
45.301265716552734,-76.676399230957031
45.301231384277344,-76.676445007324219
45.301200866699219,-76.676490783691406
45.301170349121094,-76.676528930664062
45.301136016845703,-76.676574707031250
45.301105499267578,-76.676620483398438
45.301074981689453,-76.676666259765625
45.301044464111328,-76.676712036132812
45.301010131835938,-76.676757812500000
45.300979614257812,-76.676803588867188
45.300949096679688,-76.676849365234375
45.300914764404297,-76.676895141601562
45.300884246826172,-76.676940917968750
45.300849914550781,-76.676986694335938
45.300819396972656,-76.677024841308594
45.300788879394531,-76.677070617675781
45.300754547119141,-76.677116394042969
45.300724029541016,-76.677162170410156
45.300689697265625,-76.677207946777344
45.300659179687500,-76.677253723144531
45.300624847412109,-76.677291870117188
45.300594329833984,-76.677337646484375
45.300559997558594,-76.677383422851562
45.300529479980469,-76.677429199218750
45.300498962402344,-76.677474975585938
45.300468444824219,-76.677520751953125
45.300441741943359,-76.677574157714844
45.300415039062500,-76.677627563476562
45.300395965576172,-76.677680969238281
45.300376892089844,-76.677742004394531
45.300365447998047,-76.677803039550781
45.300357818603516,-76.677864074707031
45.300357818603516,-76.677932739257812
45.300365447998047,-76.677993774414062
45.300376892089844,-76.678054809570312
45.300395965576172,-76.678115844726562
45.300418853759766,-76.678169250488281
45.300445556640625,-76.678215026855469
45.300472259521484,-76.678268432617188
45.300506591796875,-76.678306579589844
45.300544738769531,-76.678344726562500
45.300579071044922,-76.678382873535156
45.300617218017578,-76.678413391113281
45.300659179687500,-76.678443908691406
45.300701141357422,-76.678474426269531
45.300739288330078,-76.678497314453125
45.300781250000000,-76.678520202636719
45.300823211669922,-76.678543090820312
45.300868988037109,-76.678565979003906
45.300910949707031,-76.678588867187500
45.300952911376953,-76.678611755371094
45.300994873046875,-76.678627014160156
45.301036834716797,-76.678649902343750
45.301078796386719,-76.678672790527344
45.301120758056641,-76.678695678710938
45.301162719726562,-76.678718566894531
45.301204681396484,-76.678741455078125
45.301246643066406,-76.678756713867188
45.301292419433594,-76.678771972656250
45.301334381103516,-76.678787231445312
45.301380157470703,-76.678802490234375
45.301422119140625,-76.678810119628906
45.301467895507812,-76.678810119628906
45.301513671875000,-76.678810119628906
45.301559448242188,-76.678802490234375
45.301601409912109,-76.678787231445312
45.301643371582031,-76.678764343261719
45.301685333251953,-76.678741455078125
45.301723480224609,-76.678710937500000
45.301761627197266,-76.678672790527344
45.301795959472656,-76.678627014160156
45.301826477050781,-76.678581237792969
45.301856994628906,-76.678535461425781
45.301883697509766,-76.678489685058594
45.301910400390625,-76.678436279296875
45.301937103271484,-76.678382873535156
45.301963806152344,-76.678329467773438
45.301990509033203,-76.678283691406250
45.302017211914062,-76.678230285644531
45.302040100097656,-76.678176879882812
45.302066802978516,-76.678123474121094
45.302093505859375,-76.678070068359375
45.302116394042969,-76.678016662597656
45.302143096923828,-76.677963256835938
45.302169799804688,-76.677909851074219
45.302192687988281,-76.677856445312500
45.302219390869141,-76.677810668945312
45.302242279052734,-76.677757263183594
45.302268981933594,-76.677703857421875
45.302295684814453,-76.677650451660156
